text,likesCount
I love the Cheesecake Factory. I have never had a bad experience there!,27
"Had an awful time Saturday night, thank goodness our waitress was great.",2
Bring back the mushroom soup!,41
FACT,5
Bring back Boston House Salad,8
It’s real Long now many choices I love it.,5
"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida.  We always looked forward to her visits! 😉",6
Bring back spicy cashew chicken,8
Can’t wait for the new location in coconut Creek Florida to open next month.,4
Bring back the shrimp blt!,7
Bring back the stuffed cheddar burger 😡,1
Bring back the different soup for every day of the week.,4
Fact,1
I miss the salmon fire cracker rolls,10
Bring back the tons of fun burger.,6
Please bring back the Luau and Boston Bibb Salads.,2
Bring back Grilled Artichokes!,3
"Idk. Bring back the chicken teriyaki, then we’ll talk.",0
Probably fact,2
Not anymore!,2
Bring back the 2 page menu!,8
Fact,3
I can’t say for sure as I was 2 but later it was long,3
"Come to Myrtle Beach, SC",2
"Fiction.  Even when Covid and the resulting supply chain problems struck, the abridged menu was still 47 pages long…😆",3
True?,2
True!,2
Bring back the pork belly sliders,4
Fact,3
Fact,4
Fact,2
Fact,1
Probably true,2
Fact,3
"Bring back
The Factory Burger on the sourdough",3
Fiction.,3
Fact,2
Bring back the corn soup!! And the Luau salad!,3
Bring one closer to ME!!! Lol,4
#Fact,2
Love Chessecake Factory,0
Fact,1
Fact,2
The restaurant opened in 1978.,0
Please bring back Chicken di Pana!!!,3
Fact,1
TRUE,3
FACTory,2
Ryan J. Cariglio,1
Factory,2
Bring back Spicy cashew chicken onto your menu,9
Fact,1
Bring back the Factory Burrito!,6
Factory,1
"The last time a friend and I were at the cheesecake factory, in July, we weren't impressed. The menu is way too big, always has been! (Robert Irvine would cut that down to 1 or 2 pages!) All of the things we really liked to order are not on the menu anymore. And the cheesecake slices were smaller than before. We decided we will eat somewhere else and just go there to get a piece of cheesecake to go.",4
Need the macadamia nut cheesecake! Bring it back!,6
"Bring back the Samosas, pretzel crusted chicken, and the Flatbread with roasted pear, but with Feta cheese, not blue cheese.",8
Bring back the chocolate raspberry cheesecake.  Not the one with white chocolate.,9
Why make me so sad. You give me tiramisu cheesecake but no coffee flavor and it's dry... but why cheesecake factory?,0
Bring back fry bread taco .,3
"I used to love the cheesecake factory, but over the past several years,quality has dropped.  I no long visit. I miss it, but not worth my money.",1
Fiction. It has NEVER been two pages.  No way.,2
wasnt born lol,1
Too many choices now.,1
I'll admit to being overwhelmed the first time I looked at the menu. So many options made it hard to decide.,1
Please more low sodium non mushroom vegetarian options! PPPLLLLEEEEEEAAAAAAAASSSSSSSSEEEEEEEEEE!!!,2
"I still have a menu from 1987 somewhere ; I live in Australia, wrote asking for one, and they sent me one (lived in L.A. in 86/87) !",2
I think it was 3 pages,2
"Change back to a smaller menu, I beg of you",2
Still reading your menu lol 😉,16
I think it's true,1
"Went to Cheesecake Factory at Christiana Mall last Sunday - ordered the Cuban sandwich. Was very dissatisfied.  Not a lot of meat on the sandwich,  and whomever prepared the sandwich must have shifted it or dropped it onto the plate as they were going to cut it in half. When it was brought to my table,  cut in half,  all of the meat was on one half - the other half had nothing on it. I took half of the meat from the one side and put it on thy empty side... very messy and very small portions on the sandwich in a whole.  Really bad for the price I paid.",1
And that would be good enough!,3
The menu now is way too massive. Needs to be smaller.,18
Regardless bring back the 1977 prices!🤣😅,10
..... no it was bigger,1
No idea. Never heard of The Cheesecake Factory in 1977.,2
Now it is a book.,2
Ever think of doing a limited Retro-Menu era for a few weeks?,2
Were yr cheesecakes “over priced” like they r now🤔🤔🤔,1
Fact but did not know it was open in 1977,1
And 5 times cheaper,2
That’s not a good sign for a restaurant if the menu has way too many items ! Jus sayin !!,1
"Worked right across the street from the one on Las Olas for years, but unless you had a 3 hour lunch you couldn't go there.  Service sucked!",1
No idea. I wasn't even a thought in my parent's heads yet lol,0
over priced slop,2
"Would be nice if you went back to a smaller menu, that way you could focus on doing a fewer meals great instead of dozens of meals mediocre.",2
I think you mean 12 pages,1
False you didn’t open til 1978!,1
False you didnt open till 88,2
Traci Mo I agree it’s too long especially since most dishes have the same base.,1
"Traci Mo The more options, the better, keep expanding it!",0
Traci Mo never been how long is it now,0
Colleen Carey It was my favorite.  White chocolate is not really chocolate.,1
Tobie Balma 💯 I miss that one!,1
Kasey D Jordan but was the menu drafted in 1977 🤔,1
Katie Higdon Garcia it gives me anxiety 😂,0
Richard Spenelli Jr. Hello how are you doing? You have a  great picture is that your real hair on your profile picture?  I tried adding you as my friend but is not going through. So please try from your Facebook to see if it works so that we can be friends.,0
